Descrição;Classificação;Origem / Destino;CFOP_ID;CFOP Descrição
Devolução de fornecimento de produção do estabelecimento de ato cooperativo - Efeitos a partir de 01/05/2019;"Classificam-se neste código as devoluções de fornecimentos de produtos industrializados ou produzidos pelo próprio estabelecimento de cooperativa destinados a seus cooperados ou a estabelecimento de outra cooperativa, cujas saídas tenham sido classificadas no código ""5.159 – Fornecimento de produção do estabelecimento de ato cooperativo"" ou ""6.159 – Fornecimento de produção do estabelecimento de ato cooperativo"".";Origem / Destino Dentro Estado;1215;1.215 - Devolução de fornecimento de produção do estabelecimento de ato cooperativo - Efeitos a partir de 01/05/2019
Devolução de fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo - Efeitos a partir de 01/05/2019;"Classificam-se neste código as devoluções de fornecimentos de mercadorias adquiridas ou recebidas de terceiros, que não tenham sido objeto de qualquer processo industrial no estabelecimento de cooperativa, destinados a seus cooperados ou a estabelecimento de outra cooperativa, cujas saídas tenham sido classificadas no código ""5.160 – Fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo"" ou ""6.160 – Fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo"".";Origem / Destino Dentro Estado;1216;1.216 - Devolução de fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo - Efeitos a partir de 01/05/2019
Compra de energia elétrica para distribuição ou comercialização;Classificam-se neste código as compras de energia elétrica utilizada em sistema de distribuição ou comercialização. Também serão classificadas neste código as compras de energia elétrica por cooperativas para distribuição aos seus cooperados.;Origem / Destino Dentro Estado;1251;1.251 - Compra de energia elétrica para distribuição ou comercialização
Compra de energia elétrica por estabelecimento industrial;Classificam-se neste código as compras de energia elétrica utilizada no processo de industrialização. Também serão classificadas neste código as compras de energia elétrica utilizada por estabelecimento industrial de cooperativa.;Origem / Destino Dentro Estado;1252;1.252 - Compra de energia elétrica por estabelecimento industrial
Compra de energia elétrica por estabelecimento comercial;Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento comercial. Também serão classificadas neste código as compras de energia elétrica utilizada por estabelecimento comercial de cooperativa.;Origem / Destino Dentro Estado;1253;1.253 - Compra de energia elétrica por estabelecimento comercial
Compra de energia elétrica por estabelecimento prestador de serviço de transporte;Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento prestador de serviços de transporte.;Origem / Destino Dentro Estado;1254;1.254 - Compra de energia elétrica por estabelecimento prestador de serviço de transporte
Compra de energia elétrica por estabelecimento prestador de serviço de comunicação;Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento prestador de serviços de comunicação.;Origem / Destino Dentro Estado;1255;1.255 - Compra de energia elétrica por estabelecimento prestador de serviço de comunicação
Compra de energia elétrica por estabelecimento de produtor rural;Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento de produtor rural.;Origem / Destino Dentro Estado;1256;1.256 - Compra de energia elétrica por estabelecimento de produtor rural
Compra de energia elétrica para consumo por demanda contratada;Classificam-se neste código as compras de energia elétrica para consumo por demanda contratada, que prevalecerá sobre os demais códigos deste subgrupo.;Origem / Destino Dentro Estado;1257;1.257 - Compra de energia elétrica para consumo por demanda contratada
Aquisição de serviço de comunicação para execução de serviço da mesma natureza;Classificam-se neste código as aquisições de serviços de comunicação utilizados nas prestações de serviços da mesma natureza.;Origem / Destino Dentro Estado;1301;1.301 - Aquisição de serviço de comunicação para execução de serviço da mesma natureza
Aquisição de serviço de comunicação por estabelecimento industrial;Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento industrial. Também serão classificadas neste código as aquisições de serviços de comunicação utilizados por estabelecimento industrial de cooperativa.;Origem / Destino Dentro Estado;1302;1.302 - Aquisição de serviço de comunicação por estabelecimento industrial
Aquisição de serviço de comunicação por estabelecimento comercial;Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento comercial. Também serão classificadas neste código as aquisições de serviços de comunicação utilizados por estabelecimento comercial de cooperativa.;Origem / Destino Dentro Estado;1303;1.303 - Aquisição de serviço de comunicação por estabelecimento comercial
Aquisição de serviço de comunicação por estabelecimento de prestador de serviço de transporte;Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento prestador de serviço de transporte.;Origem / Destino Dentro Estado;1304;1.304 - Aquisição de serviço de comunicação por estabelecimento de prestador de serviço de transporte
Aquisição de serviço de comunicação por estabelecimento de geradora ou de distribuidora de energia elétrica;Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento de geradora ou de distribuidora de energia elétrica.;Origem / Destino Dentro Estado;1305;1.305 - Aquisição de serviço de comunicação por estabelecimento de geradora ou de distribuidora de energia elétrica
Aquisição de serviço de comunicação por estabelecimento de produtor rural;Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento de produtor rural.;Origem / Destino Dentro Estado;1306;1.306 - Aquisição de serviço de comunicação por estabelecimento de produtor rural
Aquisição de serviço de transporte para execução de serviço da mesma natureza;Classificam-se neste código as aquisições de serviços de transporte utilizados nas prestações de serviços da mesma natureza.;Origem / Destino Dentro Estado;1351;1.351 - Aquisição de serviço de transporte para execução de serviço da mesma natureza
Aquisição de serviço de transporte por estabelecimento industrial;Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento industrial. Também serão classificadas neste código as aquisições de serviços de transporte utilizados por estabelecimento industrial de cooperativa.;Origem / Destino Dentro Estado;1352;1.352 - Aquisição de serviço de transporte por estabelecimento industrial
Aquisição de serviço de transporte por estabelecimento comercial;Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento comercial. Também serão classificadas neste código as aquisições de serviços de transporte utilizados por estabelecimento comercial de cooperativa.;Origem / Destino Dentro Estado;1353;1.353 - Aquisição de serviço de transporte por estabelecimento comercial
Aquisição de serviço de transporte por estabelecimento de prestador de serviço de comunicação;Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento prestador de serviços de comunicação.;Origem / Destino Dentro Estado;1354;1.354 - Aquisição de serviço de transporte por estabelecimento de prestador de serviço de comunicação
Aquisição de serviço de transporte por estabelecimento de geradora ou de distribuidora de energia elétrica;Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento de geradora ou de distribuidora de energia elétrica.;Origem / Destino Dentro Estado;1355;1.355 - Aquisição de serviço de transporte por estabelecimento de geradora ou de distribuidora de energia elétrica
Aquisição de serviço de transporte por estabelecimento de produtor rural;Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento de produtor rural.;Origem / Destino Dentro Estado;1356;1.356 - Aquisição de serviço de transporte por estabelecimento de produtor rural
Aquisição de serviço de transporte por contribuinte substituto em relação ao serviço de transporte;Classificam-se neste código as aquisições de serviços de transporte quando o adquirente for contribuinte substituto tributário do imposto decorrente da prestação dos serviços.;Origem / Destino Dentro Estado;1360;1.360 - Aquisição de serviço de transporte por contribuinte substituto em relação ao serviço de transporte
Compra para industrialização ou produção rural em operação com mercadoria sujeita ao regime de substituição tributária;Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização ou produção rural, decorrentes de operações com mercadorias sujeitas ao regime de substituição tributária.;Origem / Destino Dentro Estado;1401;1.401 - Compra para industrialização ou produção rural em operação com mercadoria sujeita ao regime de substituição tributária
Compra para comercialização em operação com mercadoria sujeita ao regime de substituição tributária;Classificam-se neste código as compras de mercadorias a serem comercializadas, decorrentes de operações com mercadorias sujeitas ao regime de substituição tributária.;Origem / Destino Dentro Estado;1403;1.403 - Compra para comercialização em operação com mercadoria sujeita ao regime de substituição tributária
Compra de bem para o ativo imobilizado cuja mercadoria está sujeita ao regime de substituição tributária;Classificam-se neste código as compras de bens destinados ao ativo imobilizado do estabelecimento, em operações com mercadorias sujeitas ao regime de substituição tributária.;Origem / Destino Dentro Estado;1406;1.406 - Compra de bem para o ativo imobilizado cuja mercadoria está sujeita ao regime de substituição tributária
Compra de mercadoria para uso ou consumo cuja mercadoria está sujeita ao regime de substituição tributária;Classificam-se neste código as compras de mercadorias destinadas ao uso ou consumo do estabelecimento, em operações com mercadorias sujeitas ao regime de substituição tributária.;Origem / Destino Dentro Estado;1407;1.407 - Compra de mercadoria para uso ou consumo cuja mercadoria está sujeita ao regime de substituição tributária
Transferência para industrialização ou produção rural em operação com mercadoria sujeita ao regime de substituição tributária;Classificam-se neste código as mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem industrializadas no estabelecimento, em operações com mercadorias sujeitas ao regime de substituição tributária.;Origem / Destino Dentro Estado;1408;1.408 - Transferência para industrialização ou produção rural em operação com mercadoria sujeita ao regime de substituição tributária
Transferência para comercialização em operação com mercadoria sujeita ao regime de substituição tributária;Classificam-se neste código as mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem comercializadas, decorrentes de operações sujeitas ao regime de substituição tributária.;Origem / Destino Dentro Estado;1409;1.409 - Transferência para comercialização em operação com mercadoria sujeita ao regime de substituição tributária
Devolução de venda de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária;"Classificam-se neste código as devoluções de produtos industrializados ou produzidos pelo próprio estabelecimento, cujas saídas tenham sido classificadas como ""Venda de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária"".";Origem / Destino Dentro Estado;1410;1.410 - Devolução de venda de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária
Devolução de venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária;"Classificam-se neste código as devoluções de vendas de mercadorias adquiridas ou recebidas de terceiros, cujas saídas tenham sido classificadas como ""Venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária"".";Origem / Destino Dentro Estado;1411;1.411 - Devolução de venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária
Retorno de produção do estabelecimento, remetida para venda fora do estabelecimento em operação com produto sujeito ao regime de substituição tributária;Classificam-se neste código as entradas, em retorno, de produtos industrializados ou produzidos pelo próprio estabelecimento, remetidos para vendas fora do estabelecimento, inclusive por meio de veículos, em operações com produtos sujeitos ao regime de substituição tributária e não comercializados.;Origem / Destino Dentro Estado;1414;1.414 - Retorno de produção do estabelecimento, remetida para venda fora do estabelecimento em operação com produto sujeito ao regime de substituição tributária
Retorno de mercadoria adquirida ou recebida de terceiros, remetida para venda fora do estabelecimento em operação com mercadoria sujeita ao regime de substituição tributária;Classificam-se neste código as entradas, em retorno, de mercadorias adquiridas ou recebidas de terceiros, remetidas para vendas fora do estabelecimento, inclusive por meio de veículos, em operações com mercadorias sujeitas ao regime de substituição tributária, e não comercializadas.;Origem / Destino Dentro Estado;1415;1.415 - Retorno de mercadoria adquirida ou recebida de terceiros, remetida para venda fora do estabelecimento em operação com mercadoria sujeita ao regime de substituição tributária
Entrada de animal - Sistema de Integração e Parceria Rural - Efeitos a partir de 01/03/2020 - Ajuste Sinief nº 34/2019;Classificam-se neste código as entradas de animais pelo sistema integrado e de produção animal, para criação, recriação ou engorda, inclusive em sistema de confinamento. Também serão classificadas neste código as entradas do sistema de integração e produção animal decorrentes de “ato cooperativo”, inclusive as operações entre cooperativa singular e cooperativa central.;Origem / Destino Dentro Estado;1451;1.451 - Entrada de animal - Sistema de Integração e Parceria Rural - Efeitos a partir de 01/03/2020 - Ajuste Sinief nº 34/2019
Entrada de insumo - Sistema de Integração e Parceria Rural - Efeitos a partir de 01/03/2020 - Ajuste Sinief nº 34/2019;Classificam-se neste código as entradas de insumos pelo sistema integrado e de produção animal, para criação, recriação ou engorda, inclusive em sistema de confinamento. Também serão classificadas neste código as entradas do sistema de integração e produção animal decorrentes de “ato cooperativo”, inclusive as operações entre cooperativa singular e cooperativa central.;Origem / Destino Dentro Estado;1452;1.452 - Entrada de insumo - Sistema de Integração e Parceria Rural - Efeitos a partir de 01/03/2020 - Ajuste Sinief nº 34/2019
Retorno do animal ou da produção - Sistema de Integração e Parceria Rural - Efeitos a partir de 01/03/2020 - Ajuste Sinief nº 34/2019;"Classificam-se neste código as entradas referentes ao retorno da produção, bem como dos de animais criados, recriados ou engordados pelo produtor no sistema integrado e de produção animal, cujas saídas tenham sido classificadas no código ou ""5.453 - Retorno de animal ou da produção - Sistema de Integração e Parceria Rural"" ""6.453 - Retorno de animal ou da produção - Sistema de Integração e Parceria Rural"". Também serão classificados neste código os retornos do sistema de integração e produção animal decorrentes de ""ato cooperativo"", inclusive as operações entre cooperativa singular e cooperativa central";Origem / Destino Dentro Estado;1453;1.453 - Retorno do animal ou da produção - Sistema de Integração e Parceria Rural - Efeitos a partir de 01/03/2020 - Ajuste Sinief nº 34/2019
Retorno simbólico do animal ou da produção - Sistema de Integração e Parceria Rural - Efeitos a partir de 01/03/2020 - Ajuste Sinief nº 34/2019;Classificam-se neste código as entradas referentes ao retorno simbólico da produção, bem como dos de animais criados, recriados ou engordados pelo produtor no sistema integrado e de produção animal, cujas saídas tenham sido classificadas no código “5.454 - Retorno simbólico de animal ou da produção - Sistema de Integração e Parceria Rural.” ou “6.454 - Retorno simbólico de animal ou da produção - Sistema de Integração e Parceria Rural.”;Origem / Destino Dentro Estado;1454;1.454 - Retorno simbólico do animal ou da produção - Sistema de Integração e Parceria Rural - Efeitos a partir de 01/03/2020 - Ajuste Sinief nº 34/2019
